CUSTOMER_ID,AGE,CREDIT_SCORE,MONTHLY_INCOME,DEBT_TO_INCOME_RATIO,CREDIT_UTILIZATION_PCT,LATE_PAYMENTS_6M,LATE_PAYMENTS_12M,OPEN_ACCOUNTS,LOAN_BALANCE,MONTHS_ON_BOOK,PAYMENT_RATIO,CREDIT_INQUIRIES_12M,DELINQUENT
CUST000048,50,734,7658.0,32.6,18.9,1,2,14,79692.0,14,1.1,2,0
CUST000049,35,677,1613.0,54.7,52.1,1,3,3,9895.0,101,0.98,1,1
CUST000050,36,508,17272.0,12.8,33.5,2,3,10,308356.0,135,0.94,1,1
CUST000051,58,675,3024.0,52.5,36.3,1,1,14,45628.0,81,1.09,2,1
CUST000052,43,619,2713.0,25.4,66.8,0,0,2,36580.0,156,0.7,1,1
CUST000053,35,595,2985.0,11.1,52.9,1,2,10,14030.0,39,0.27,1,1
CUST000054,26,698,4400.0,8.7,57.9,3,3,3,33645.0,129,0.77,2,1
CUST000055,27,732,3611.0,17.4,51.0,0,1,8,23871.0,49,0.62,3,1
CUST000056,35,724,13856.0,18.1,89.6,0,2,12,60070.0,30,0.68,3,1
CUST000057,44,582,8281.0,17.8,41.6,0,2,9,93730.0,226,0.59,2,1
CUST000058,23,625,6873.0,7.6,45.0,0,0,10,22530.0,193,0.64,1,0
CUST000059,73,676,6000.0,26.7,70.1,1,1,1,30857.0,45,0.73,1,0
CUST000060,68,728,9477.0,41.1,38.5,1,2,13,93190.0,99,0.81,1,1
CUST000061,34,611,3340.0,59.5,87.2,0,1,10,11554.0,96,0.93,0,1
CUST000062,41,635,3248.0,20.8,62.7,2,2,4,34280.0,62,0.92,3,1
CUST000063,29,561,9746.0,12.0,38.7,2,3,1,23994.0,110,0.7,3,1
CUST000064,61,554,12325.0,57.1,26.3,0,2,4,244178.0,19,0.75,2,1
CUST000065,68,715,14590.0,70.8,15.0,0,1,7,211794.0,142,0.89,1,1
CUST000066,63,758,6823.0,15.1,12.5,0,0,4,52502.0,30,0.68,0,0
CUST000067,32,644,3119.0,14.0,24.2,2,2,1,23201.0,24,0.74,2,1
CUST000068,71,730,14331.0,10.9,42.5,1,1,11,79656.0,15,0.73,2,1
CUST000069,44,678,8543.0,31.7,65.2,1,5,2,129665.0,212,0.44,1,1
CUST000070,64,598,18666.0,67.4,77.6,2,2,5,52653.0,86,0.53,0,1
CUST000071,61,678,5735.0,18.2,39.8,0,2,9,104189.0,112,0.49,2,1
CUST000072,40,773,7203.0,21.2,56.1,4,4,8,23301.0,214,0.82,0,0
CUST000073,55,647,8060.0,51.5,55.2,0,2,3,34601.0,193,0.74,6,1
CUST000074,55,775,8133.0,15.9,17.8,1,1,2,99078.0,204,0.8,0,0
CUST000075,54,440,12724.0,16.6,18.4,1,1,2,78845.0,183,0.59,1,1
CUST000076,48,715,4703.0,51.8,32.1,1,1,11,39469.0,42,0.64,2,1
CUST000077,69,656,2827.0,25.2,77.9,1,3,12,41334.0,64,0.54,1,1
CUST000078,25,626,6492.0,46.6,69.2,0,2,10,112727.0,194,0.62,0,1
CUST000079,68,657,3957.0,27.7,36.0,0,1,1,41323.0,88,0.8,3,1
CUST000080,67,490,5182.0,48.4,69.9,0,2,3,33321.0,208,0.54,1,1
CUST000081,38,632,3306.0,23.5,81.4,1,2,2,24156.0,29,0.41,1,1
CUST000082,29,678,2476.0,34.8,43.9,0,0,6,46218.0,10,0.71,0,1
CUST000083,26,768,9075.0,33.8,61.7,2,2,9,114981.0,138,0.83,2,1
CUST000084,27,608,4633.0,23.0,49.7,1,1,12,83304.0,206,0.59,1,1
CUST000085,67,585,10394.0,35.7,15.7,0,0,9,108189.0,41,1.03,1,1
CUST000086,21,609,12890.0,31.1,65.4,0,0,8,170715.0,71,0.83,1,1
CUST000087,50,723,4795.0,8.1,62.6,0,0,11,73967.0,21,0.43,2,1
CUST000088,42,676,4474.0,51.6,48.8,1,2,10,37129.0,221,0.84,3,1
CUST000089,53,607,11431.0,12.0,70.3,1,1,5,169235.0,33,1.05,1,1
CUST000090,56,691,3949.0,29.7,25.7,0,1,1,64254.0,60,0.68,0,1
CUST000091,69,657,6946.0,41.1,98.0,1,1,13,137077.0,214,0.65,1,1
CUST000092,73,727,3443.0,18.7,73.9,1,1,7,21255.0,165,0.75,1,1
CUST000093,25,593,3426.0,1.2,58.0,1,1,5,48989.0,173,0.63,1,1
CUST000094,67,623,6054.0,49.9,43.2,0,1,8,60272.0,210,1.18,3,1
CUST000095,47,618,1735.0,37.8,15.2,3,6,6,17473.0,37,0.81,1,1
CUST000096,70,532,14594.0,41.9,69.5,1,4,14,193804.0,167,0.45,1,1
CUST000097,65,673,2656.0,21.3,80.9,0,1,4,35110.0,149,0.58,3,1
CUST000098,40,670,1640.0,20.3,44.1,1,2,3,25552.0,168,0.72,1,1
CUST000099,54,650,7872.0,21.8,84.5,2,3,4,122687.0,85,0.69,2,1
CUST000100,56,631,3109.0,17.8,37.6,2,3,6,53685.0,70,0.93,1,0
CUST000101,41,536,5361.0,27.4,24.0,1,1,3,91075.0,109,0.72,0,0
CUST000102,35,616,5626.0,17.8,61.7,1,2,4,68336.0,79,0.71,3,1
CUST000103,38,622,2701.0,67.8,6.8,1,2,3,39224.0,106,0.65,1,1
CUST000104,73,585,4831.0,51.4,58.3,1,3,11,83897.0,16,0.64,2,1
CUST000105,69,637,2907.0,55.9,46.0,2,2,7,11698.0,228,1.02,1,1
CUST000106,42,682,10610.0,56.6,49.2,0,4,8,99974.0,35,0.84,0,1
CUST000107,59,800,2178.0,5.6,20.9,1,1,6,25790.0,90,0.43,1,1
CUST000108,70,663,2028.0,6.1,89.8,0,0,1,7740.0,63,0.75,2,1
CUST000109,26,670,6530.0,50.6,6.0,3,4,11,129368.0,202,0.44,1,1
CUST000110,65,644,8913.0,37.3,30.3,0,1,7,109719.0,128,0.99,2,1
CUST000111,36,496,7312.0,12.4,18.8,1,1,10,94251.0,63,0.76,1,1
CUST000112,74,647,2392.0,12.6,66.5,1,1,3,16963.0,85,0.76,3,1
CUST000113,66,654,4345.0,30.0,48.2,0,3,4,49473.0,86,0.73,0,1
CUST000114,48,847,6851.0,6.6,44.1,2,3,14,43425.0,32,0.92,1,1
CUST000115,50,634,4978.0,15.1,18.6,0,3,8,59170.0,166,0.4,5,1
CUST000116,58,674,2394.0,20.7,29.2,1,3,8,26226.0,161,0.92,4,0
CUST000117,67,647,2403.0,16.2,8.9,2,4,5,31532.0,81,0.48,1,1
CUST000118,30,556,4742.0,41.8,68.8,1,2,9,86619.0,81,0.83,2,1
CUST000119,30,741,7586.0,18.3,75.1,0,3,14,63919.0,234,0.59,1,1
CUST000120,23,710,5119.0,49.2,9.0,5,6,13,36714.0,101,0.58,1,1
CUST000121,61,713,18241.0,33.1,85.2,2,2,5,261701.0,47,0.57,1,1
CUST000122,67,577,3624.0,38.8,61.1,0,0,10,46243.0,232,0.74,5,1
CUST000123,38,762,10247.0,32.6,79.8,1,2,7,193635.0,211,0.66,2,0
CUST000124,42,537,4931.0,7.1,34.9,1,3,6,20099.0,85,0.28,2,1
CUST000125,49,696,6391.0,26.4,52.6,4,4,10,73871.0,227,1.02,1,0
CUST000126,28,825,3900.0,42.4,73.9,1,1,10,42692.0,192,0.36,3,1
CUST000127,73,570,6461.0,32.7,45.4,2,3,14,49559.0,60,0.72,3,1
CUST000128,28,604,2697.0,38.0,49.0,0,1,7,5456.0,20,1.16,2,1
CUST000129,23,657,8577.0,27.2,14.3,1,3,11,57200.0,105,0.8,3,1
CUST000130,74,609,4306.0,20.9,45.9,1,2,8,28357.0,172,0.53,0,1
CUST000131,50,525,8922.0,33.6,72.6,0,0,1,122555.0,179,0.4,1,1
CUST000132,30,655,3189.0,37.7,44.3,1,1,9,10416.0,56,1.1,3,1
CUST000133,28,565,6518.0,44.8,70.9,0,2,13,62989.0,69,0.9,0,1
CUST000134,27,687,5808.0,4.5,27.3,0,2,13,96593.0,36,0.77,1,0
CUST000135,58,576,4339.0,30.2,73.7,3,5,4,62468.0,206,0.86,1,1
CUST000136,59,773,4470.0,28.0,66.1,1,1,6,34708.0,166,0.41,0,1
CUST000137,39,587,5056.0,37.6,14.0,1,4,11,82741.0,168,1.12,2,1
CUST000138,34,624,6927.0,2.5,31.2,1,4,14,38972.0,105,0.88,1,1
CUST000139,70,715,5900.0,49.5,4.7,0,1,1,95517.0,119,0.64,0,0
CUST000140,53,551,5763.0,17.9,58.2,2,3,12,96354.0,222,0.77,1,1
CUST000141,67,668,5292.0,14.9,42.4,4,4,8,46351.0,10,0.35,0,1
CUST000142,48,754,3008.0,45.2,29.8,3,5,11,54933.0,29,0.8,1,1
CUST000143,40,521,4136.0,27.2,38.8,1,1,12,59808.0,156,0.72,1,1
CUST000144,60,664,4800.0,26.3,72.9,1,2,13,50032.0,91,0.9,1,1
CUST000145,64,670,3750.0,60.5,63.0,1,2,3,64051.0,139,0.89,1,1
CUST000146,21,712,6780.0,18.2,63.2,0,2,5,104155.0,228,1.11,2,1
CUST000147,46,551,7818.0,6.0,17.1,0,1,1,150984.0,138,0.63,2,1
CUST000148,30,544,7529.0,9.4,37.4,0,1,7,144388.0,230,0.89,0,0
CUST000149,52,691,5532.0,30.5,75.0,1,1,3,35374.0,145,0.61,1,0
CUST000150,69,673,3604.0,43.6,84.0,1,3,3,46786.0,156,0.8,1,1
CUST000151,52,670,7558.0,51.6,46.6,0,1,1,71914.0,45,0.81,0,1
CUST000152,40,677,3326.0,11.5,38.3,0,2,14,30628.0,32,0.51,1,1
CUST000153,56,595,7425.0,41.1,89.6,1,1,8,16505.0,195,0.8,1,1
CUST000154,50,668,2561.0,43.3,20.0,0,2,1,9319.0,91,1.2,0,0
CUST000155,54,673,11290.0,10.1,77.4,1,3,8,157400.0,84,0.59,0,1
CUST000156,53,592,5180.0,51.7,80.6,3,4,10,48969.0,149,0.64,1,1
CUST000157,34,799,7909.0,34.5,85.6,1,2,12,57002.0,177,0.73,2,1
CUST000158,42,687,4419.0,11.8,90.5,1,2,1,19497.0,207,0.57,3,1
CUST000159,48,554,2822.0,32.6,74.3,0,0,10,47222.0,33,0.64,2,1
CUST000160,50,702,3130.0,16.6,60.1,3,6,14,32663.0,64,0.42,1,1
CUST000161,69,572,2731.0,25.9,16.8,3,7,10,54195.0,191,0.93,0,1
CUST000162,67,712,3871.0,23.4,67.1,4,4,3,33847.0,100,0.87,0,1
CUST000163,28,742,4492.0,11.1,57.1,1,1,6,10293.0,110,0.81,3,0
CUST000164,48,584,6316.0,21.9,36.8,0,0,1,24291.0,113,0.34,0,1
CUST000165,41,727,1899.0,17.2,71.4,2,3,10,14947.0,189,0.83,2,1
CUST000166,29,683,4253.0,55.0,23.4,2,2,6,83752.0,125,0.86,2,1
CUST000167,65,715,2986.0,49.3,53.9,1,1,1,50693.0,122,0.55,2,1
CUST000168,36,801,6618.0,8.0,61.1,0,3,9,41400.0,54,0.93,2,1
CUST000169,48,630,3062.0,22.1,30.8,0,1,12,58284.0,224,0.77,2,0
CUST000170,21,589,3671.0,13.8,64.1,0,0,14,9603.0,229,0.45,1,1
CUST000171,57,578,9350.0,24.1,37.5,1,2,10,101539.0,135,0.86,0,1
CUST000172,70,584,4637.0,26.7,79.6,0,1,3,18825.0,182,0.48,2,1
CUST000173,25,643,4736.0,29.4,69.9,1,1,5,34307.0,83,0.98,1,1
CUST000174,32,677,5922.0,12.8,57.0,0,1,6,113709.0,3,0.96,0,1
CUST000175,30,672,2266.0,11.7,77.3,0,1,1,26808.0,205,0.66,3,1
CUST000176,38,716,3939.0,41.5,83.1,0,0,8,37879.0,190,0.8,2,1
CUST000177,35,651,4245.0,34.5,66.8,2,4,9,23494.0,99,0.73,0,1
CUST000178,65,766,7511.0,17.2,54.8,0,0,7,15116.0,12,0.73,2,1
CUST000179,22,628,10198.0,31.6,55.3,0,2,12,38223.0,116,0.67,3,1
CUST000180,72,850,4782.0,46.9,92.7,1,2,1,49231.0,29,1.03,2,1
CUST000181,36,700,14939.0,13.1,8.9,0,1,14,221130.0,78,0.67,1,1
CUST000182,60,581,3175.0,32.4,20.1,1,3,12,27408.0,56,0.74,4,1
CUST000183,29,564,5880.0,17.9,46.1,1,2,1,28808.0,177,1.0,1,1
CUST000184,49,688,6395.0,20.2,89.1,0,0,2,105370.0,204,0.88,1,1
CUST000185,36,632,2020.0,31.9,58.2,0,0,4,32672.0,222,0.89,4,1
CUST000186,32,707,3866.0,14.7,55.1,0,3,14,39964.0,5,0.95,2,1
CUST000187,34,687,3148.0,8.6,58.9,1,1,5,24114.0,74,0.7,4,1
CUST000188,60,644,2936.0,16.7,32.9,0,2,6,46160.0,201,1.0,4,1
CUST000189,58,582,6498.0,49.6,59.8,1,2,12,82407.0,104,0.8,0,1
CUST000190,53,528,4934.0,19.1,70.6,0,0,13,50775.0,224,0.67,0,1
CUST000191,66,614,10740.0,22.4,73.2,0,1,8,180104.0,43,0.93,3,1
CUST000192,45,718,4859.0,27.8,49.4,4,5,4,26873.0,68,0.98,1,1
CUST000193,43,667,3257.0,55.2,44.8,1,4,13,40449.0,39,0.92,3,1
CUST000194,27,550,2426.0,27.6,29.2,0,6,8,12213.0,8,0.61,0,1
CUST000195,67,663,4059.0,16.2,47.1,1,1,13,39696.0,96,0.66,1,1
CUST000196,53,680,3882.0,40.6,32.6,1,1,1,61818.0,68,0.91,1,1
CUST000197,27,579,4384.0,51.8,97.1,0,2,3,53525.0,172,0.56,4,1
CUST000198,41,662,5171.0,6.9,59.4,1,2,3,15147.0,105,0.58,2,1
CUST000199,31,654,3156.0,20.7,47.0,0,1,13,18883.0,64,0.52,3,1
CUST000200,38,558,6341.0,21.8,53.0,0,1,11,62095.0,59,0.6,1,1
CUST000201,31,678,5509.0,20.4,33.2,0,2,10,44344.0,111,0.39,2,1
CUST000202,41,694,9007.0,32.5,50.6,0,1,13,156389.0,171,0.77,3,1
CUST000203,71,736,6664.0,6.4,23.3,0,2,13,128530.0,113,0.68,2,1
CUST000204,65,734,7632.0,10.2,54.7,0,3,6,91876.0,15,0.88,1,1
CUST000205,39,539,9582.0,19.9,86.8,1,1,14,92656.0,82,0.64,0,1
CUST000206,47,574,4139.0,11.7,61.3,0,2,12,61926.0,14,0.96,0,1
CUST000207,32,691,6900.0,19.7,64.9,1,3,2,122374.0,173,0.75,1,1
CUST000208,22,691,5694.0,36.9,45.5,1,5,7,89825.0,138,0.83,1,1
CUST000209,26,691,8637.0,39.7,42.5,3,5,3,50918.0,62,0.38,0,1
CUST000210,59,850,2823.0,14.2,28.8,0,2,7,7977.0,195,0.76,2,0
CUST000211,34,695,3944.0,43.8,63.6,2,4,1,34888.0,156,0.98,0,0
CUST000212,68,740,1929.0,48.4,3.5,1,3,1,4153.0,21,0.94,2,1
CUST000213,45,726,5460.0,60.2,9.2,1,2,4,42368.0,174,0.84,3,0
CUST000214,72,702,7184.0,36.7,48.9,2,4,3,36262.0,47,0.83,0,1
CUST000215,59,624,3755.0,24.2,75.6,1,1,11,21850.0,64,0.9,0,1
CUST000216,35,710,3580.0,15.3,18.0,2,3,10,59951.0,160,0.93,0,0
CUST000217,44,588,3211.0,31.2,88.0,0,3,10,37363.0,188,1.01,1,1
CUST000218,41,631,4019.0,18.6,31.0,0,1,9,25757.0,196,0.75,3,1
CUST000219,53,611,7092.0,26.4,84.8,1,2,6,24994.0,154,0.53,0,1
CUST000220,40,656,2788.0,35.6,70.1,3,4,4,43298.0,169,0.78,2,1
CUST000221,64,835,6398.0,53.8,15.6,1,2,4,83281.0,108,0.68,0,0
CUST000222,68,500,2917.0,20.6,55.7,2,3,7,37204.0,22,0.64,3,1
CUST000223,26,704,5680.0,29.7,55.7,1,1,14,15497.0,87,0.75,2,1
CUST000224,28,520,6223.0,38.0,56.6,1,3,7,22306.0,109,0.69,2,1
CUST000225,51,612,10150.0,2.2,29.3,0,2,14,27614.0,207,0.91,0,0
CUST000226,27,737,3614.0,6.1,56.9,1,2,2,24879.0,215,0.82,3,0
CUST000227,56,655,7035.0,54.3,50.1,0,0,6,139274.0,224,0.52,0,1
CUST000228,48,563,1964.0,46.5,73.6,0,1,7,14922.0,110,0.5,4,1
CUST000229,57,592,4286.0,57.4,51.2,0,1,10,55208.0,227,0.72,3,1
CUST000230,54,704,10620.0,18.1,46.8,0,0,10,75491.0,187,1.07,3,1
CUST000231,70,591,2076.0,16.6,63.2,1,2,6,6290.0,76,0.52,6,1
CUST000232,44,667,4820.0,23.7,82.0,0,0,7,42417.0,170,0.45,1,1
CUST000233,56,653,2402.0,14.7,61.7,1,4,10,13834.0,197,0.66,2,1
CUST000234,26,597,3575.0,22.0,65.8,1,4,12,32357.0,127,1.2,1,1
CUST000235,44,821,5325.0,39.4,15.7,0,0,6,36843.0,9,0.91,0,0
CUST000236,32,700,9250.0,17.4,23.1,0,0,9,149464.0,180,0.58,3,0
CUST000237,69,487,1545.0,45.2,33.3,0,1,4,13291.0,181,0.99,0,1
CUST000238,51,664,3967.0,21.8,75.1,0,1,10,31999.0,170,0.6,1,1
CUST000239,50,597,10148.0,43.3,30.9,0,0,6,98603.0,81,1.15,3,1
CUST000240,39,718,4069.0,58.4,49.8,0,1,5,32337.0,191,0.45,1,1
CUST000241,42,586,5568.0,39.9,69.4,1,5,10,109689.0,64,0.91,0,1
CUST000242,49,640,5667.0,29.2,34.5,2,2,13,67051.0,50,0.59,3,1
CUST000243,39,690,8693.0,28.0,60.5,1,1,12,45125.0,56,1.0,2,0
CUST000244,42,719,7032.0,36.3,45.5,1,5,14,140313.0,171,0.72,2,1
CUST000245,68,553,2076.0,40.9,32.4,0,2,11,16163.0,239,0.68,2,1
CUST000246,73,623,5016.0,28.2,46.5,1,1,4,37668.0,7,1.02,3,1
CUST000247,31,612,8258.0,21.0,49.6,0,2,6,64326.0,87,0.75,4,1
CUST000248,56,597,5278.0,43.1,63.7,0,2,5,68524.0,95,0.68,1,1
CUST000249,39,791,7046.0,30.2,71.7,0,0,12,42634.0,87,0.48,1,0
CUST000250,71,682,8874.0,29.9,66.6,4,4,1,153237.0,224,0.73,1,1
CUST000251,24,549,4755.0,6.8,41.6,1,2,12,53967.0,9,0.56,2,1
CUST000252,35,723,4331.0,40.6,37.6,0,1,2,56447.0,146,0.84,1,0
CUST000253,26,819,2878.0,32.9,49.4,0,1,14,35007.0,133,0.63,1,0
CUST000254,41,732,6827.0,41.6,88.8,1,2,2,74770.0,84,0.46,0,1
CUST000255,21,528,11458.0,30.3,81.1,1,1,5,185659.0,86,0.63,1,1
CUST000256,24,611,3936.0,4.2,66.3,0,1,7,69148.0,70,0.48,0,1
CUST000257,36,751,8235.0,25.5,71.6,0,2,1,98328.0,100,1.02,2,1
CUST000258,49,593,9384.0,26.6,84.6,1,1,2,162875.0,106,0.51,0,1
CUST000259,46,685,10188.0,42.4,14.8,1,3,14,77808.0,193,1.1,3,0
CUST000260,52,711,6850.0,7.6,60.3,1,2,8,24690.0,222,0.79,1,0
CUST000261,40,575,11865.0,24.1,94.2,1,1,11,46004.0,92,0.95,3,1
CUST000262,21,645,5168.0,27.5,75.6,4,7,13,17175.0,207,0.58,1,1
CUST000263,37,390,5181.0,34.1,30.9,0,1,5,94612.0,10,0.67,0,1
CUST000264,24,568,13917.0,24.5,26.8,3,4,6,66411.0,31,0.84,2,1
CUST000265,56,629,5091.0,13.3,62.6,0,2,5,68792.0,114,1.02,2,1
CUST000266,56,550,2790.0,27.7,12.3,0,2,6,15364.0,223,0.83,3,1
CUST000267,40,780,4740.0,29.2,86.3,1,2,5,23428.0,83,0.95,5,0
CUST000268,38,535,3502.0,9.2,69.4,0,4,7,56219.0,114,0.88,0,1
CUST000269,59,614,6804.0,4.3,12.6,0,1,6,67828.0,102,0.57,3,1
CUST000270,24,660,2518.0,25.1,50.0,0,0,3,18619.0,210,0.69,1,1
CUST000271,33,765,7911.0,19.0,34.5,1,1,12,39155.0,58,1.01,1,0
CUST000272,65,535,3367.0,22.2,61.0,0,0,12,65948.0,30,0.79,3,1
CUST000273,71,743,2848.0,62.0,31.5,0,2,8,49486.0,172,0.56,4,1
CUST000274,46,650,6347.0,31.7,86.0,1,2,7,13558.0,226,1.14,1,0
CUST000275,72,571,6060.0,13.3,62.5,0,2,3,113909.0,189,0.76,0,1
CUST000276,71,686,3186.0,45.7,40.4,1,1,2,33211.0,138,0.58,3,1
CUST000277,29,665,3553.0,21.6,34.4,1,2,2,40937.0,122,0.79,0,0
CUST000278,41,601,4311.0,24.5,40.4,1,4,13,36818.0,184,0.76,0,1
CUST000279,36,655,2705.0,42.3,41.5,0,1,7,52170.0,105,1.04,3,1
CUST000280,46,619,3384.0,8.5,18.2,2,4,3,54356.0,59,0.61,1,1
CUST000281,58,659,6618.0,35.9,57.6,1,1,11,56151.0,109,0.59,0,0
CUST000282,50,702,3934.0,27.6,37.6,2,3,10,40291.0,101,0.55,2,0
CUST000283,46,776,10423.0,19.9,62.1,0,1,8,162766.0,43,0.63,1,0
CUST000284,54,550,5641.0,67.8,77.5,1,2,11,52526.0,112,0.73,2,1
CUST000285,40,820,5252.0,33.2,42.9,0,2,3,69006.0,4,0.94,2,1
CUST000286,43,493,3834.0,29.3,35.6,2,2,2,50221.0,173,1.07,0,1
CUST000287,61,637,5715.0,41.1,65.3,1,1,5,21608.0,58,0.77,1,1
CUST000288,52,697,2768.0,11.5,28.3,0,0,4,46097.0,11,1.07,1,0
CUST000289,50,672,7850.0,55.0,26.1,0,2,7,31457.0,31,0.87,1,1
CUST000290,46,600,7009.0,61.9,47.4,0,1,4,35478.0,180,0.68,2,1
CUST000291,63,633,4549.0,32.3,49.0,1,1,2,37975.0,81,0.68,3,1
CUST000292,44,610,5395.0,63.9,43.0,2,4,6,45636.0,95,0.97,2,1
CUST000293,64,602,6231.0,37.3,39.1,2,3,11,51252.0,199,1.14,1,1
CUST000294,23,717,7084.0,13.6,32.1,0,1,13,88674.0,191,0.54,2,0
CUST000295,44,678,2149.0,40.4,29.2,1,2,9,26166.0,201,0.76,0,1
CUST000296,61,594,6150.0,38.8,57.1,1,3,2,62246.0,46,1.21,0,1
CUST000297,51,721,4595.0,15.9,33.2,0,1,9,12505.0,226,0.65,1,0
CUST000298,42,674,5289.0,14.1,59.3,3,4,13,78167.0,174,0.93,3,1
CUST000299,42,715,7505.0,28.8,36.4,0,1,5,78610.0,215,1.1,0,0
CUST000300,29,700,6384.0,30.7,85.0,1,2,13,41688.0,216,0.66,2,1
CUST000301,43,583,8737.0,37.7,21.8,2,4,10,58555.0,73,0.55,3,1
CUST000302,43,605,5437.0,32.4,64.5,0,1,13,65712.0,58,0.44,1,1
CUST000303,40,709,4764.0,57.8,20.1,2,3,13,22577.0,209,0.89,0,1
CUST000304,47,698,4732.0,38.1,55.7,1,3,9,46288.0,43,0.63,1,1
CUST000305,47,648,4295.0,61.4,91.4,0,2,12,14645.0,12,0.29,0,1
CUST000306,49,659,3882.0,19.4,21.5,1,2,5,36315.0,140,0.72,0,0
CUST000307,24,752,5108.0,18.6,72.7,1,2,7,82204.0,50,0.45,3,1
CUST000308,72,602,6422.0,33.5,45.9,0,2,10,74406.0,113,0.56,2,1
CUST000309,35,693,2715.0,75.0,10.6,1,1,12,27055.0,217,0.95,0,1
CUST000310,27,633,5973.0,14.2,46.4,0,0,2,66535.0,129,0.7,3,1
